idx	preset	role	shared_l3	a_slug	a_title	b_slug	b_title	trig_jaccard	shared_triggers	title_identical	a_user_summary	b_user_summary	a_workflow	b_workflow
17	agt-002	AGT-002 枢衡	依赖协调	p2s-autogen-multi-agent-conversation	AutoGen — 多智能体对话编排框架	p2s-cross-org-agent-protocol	Cross-Org Agent Protocol — 跨组织多智能体协调协议：多委托人、联邦编排、工作区委托	0			把评论分析拆成抽取、情感、校验、预警几个角色，让它们对话协作，越聊越准。	让分属不同公司或不同厂商的 Agent 互相协作，靠签名消息和委托关系把协作口径对齐。	定义抽取、情感、校验、预警等角色 Agent 与各自系统提示 → 用共享对话消息驱动角色轮流发言与交接 → 由校验 Agent 复核抽取结果并标记待人工复核项 → 由预警 Agent 按业务规则库触发阈值告警 → 汇总输出多维分析结论	建立 MPAC 会话并声明双方委托人 → 按 MPAC 层级与消息类型封装消息 → 对消息签名并在接收端验签 → 按委托范围交换约定字段并协商出结论 → 留存会话记录供审计
18	agt-002	AGT-002 枢衡	依赖协调	p2s-autogen-multi-agent-conversation	AutoGen — 多智能体对话编排框架	p2s-dynamic-dag-orchestration	Dynamic DAG Orchestration — 运行时动态调整工作流拓扑	0			把评论分析拆成抽取、情感、校验、预警几个角色，让它们对话协作，越聊越准。	工作流跑到一半发现置信度不够就停、发现供应缺口就插新节点，让拓扑跟着数据实时变。	定义抽取、情感、校验、预警等角色 Agent 与各自系统提示 → 用共享对话消息驱动角色轮流发言与交接 → 由校验 Agent 复核抽取结果并标记待人工复核项 → 由预警 Agent 按业务规则库触发阈值告警 → 汇总输出多维分析结论	构建初始节点与依赖（需求预测、竞品分析、供应链评估、毛利优化、决策汇总） → 为节点设定状态与置信度门控判据 → 按判据在运行时注入新节点（如紧急产能评估） → 置信度不足时停止后续节点并转人工审核 → 输出调整后的拓扑与执行记录
19	agt-002	AGT-002 枢衡	异常冻结与恢复	p2s-black-swan-scenario-simulation-tag	黑天鹅情景模拟标签 — 极端事件供应链压力测试与预案激活机制	p2s-ltv-acquisition-budget-gate	LTV-Acquisition-Budget-Gate — LTV/CAC比值驱动的获客预算自动开闸/熔断决策器	0			把封号、断供这类极端事件量化成 GMV 损失和恢复时间，并给每个场景打上预案激活标签。	按 LTV/CAC 比值自动决定哪些渠道熔断新客投放、哪些加预算，并带样本量与连续扩增护栏。	定义黑天鹅情景（发生概率、GMV 影响比例、持续与恢复周期、缓解成本、预案动作） → 按月度 GMV 与库存天数运行压力测试 → 量化每个情景的 GMV 损失与总损失，判定库存能否撑过 → 计算韧性评分并按概率阈值输出预案激活标签 → 按总损失排序输出风险清单	汇总各渠道预算、30天CAC与LTV分位数 → 校验新客样本量是否达门槛 → 比值低于熔断阈值判熔断、高于开闸阈值判扩增 → 按扩增比例调整预算并受连续扩增上限约束 → 输出渠道决策与新预算表
20	agt-002	AGT-002 枢衡	异常冻结与恢复	p2s-black-swan-scenario-simulation-tag	黑天鹅情景模拟标签 — 极端事件供应链压力测试与预案激活机制	p2s-ltv-cac-acquisition-gate	LTV CAC Acquisition Gate — LTV/CAC比率触发渠道获客自动暂停或扩投	0			把封号、断供这类极端事件量化成 GMV 损失和恢复时间，并给每个场景打上预案激活标签。	用 LTV/CAC 比值判断哪个渠道该暂停新客投放、哪个该加预算，并保留品牌最低预算。	定义黑天鹅情景（发生概率、GMV 影响比例、持续与恢复周期、缓解成本、预案动作） → 按月度 GMV 与库存天数运行压力测试 → 量化每个情景的 GMV 损失与总损失，判定库存能否撑过 → 计算韧性评分并按概率阈值输出预案激活标签 → 按总损失排序输出风险清单	汇总各渠道预测LTV、当月CAC、新客数与预算 → 按最小新客数门槛过滤渠道 → 比值低于暂停阈值判暂停、高于扩投阈值判加预算 → 按扩投比例调整并把释放预算转入高效渠道 → 保留品牌最低预算并设观察天数后复评
21	agt-002	AGT-002 枢衡	异常冻结与恢复	p2s-black-swan-scenario-simulation-tag	黑天鹅情景模拟标签 — 极端事件供应链压力测试与预案激活机制	p2s-model-performance-monitor	Skill-Model-Performance-Monitor	0			把封号、断供这类极端事件量化成 GMV 损失和恢复时间，并给每个场景打上预案激活标签。	让新模型先静默陪跑几天，用真实标签比出谁更准，再决定切还是等；模型劣化从 7 天发现压到 1 小时。	定义黑天鹅情景（发生概率、GMV 影响比例、持续与恢复周期、缓解成本、预案动作） → 按月度 GMV 与库存天数运行压力测试 → 量化每个情景的 GMV 损失与总损失，判定库存能否撑过 → 计算韧性评分并按概率阈值输出预案激活标签 → 按总损失排序输出风险清单	让新模型以 Shadow 模式静默预测，不接生产流量 → 等待真实标签到达（如 T+7 的实际销量） → 用滑动窗口对比 Champion 与 Challenger 的 AUC/MAPE → 做统计显著性检验并给出 GO / WAIT / ABORT 建议 → 指标退化超阈值时触发告警与重训提示
22	agt-002	AGT-002 枢衡	能力匹配	p2s-business-problem-to-skill-retrieval	业务问题→Skill 检索 — Sentence-BERT + RRF 多路召回引擎	p2s-knowledge-graph-for-skills-management	Knowledge Graph for Skills Management（知识图谱驱动的技能管理）	0			运营和数据新人说一句业务问题，几秒内拿到最该用的 3 个技能和上手步骤，不用再逐页翻技能库。	把散落的技能卡片连成一张图，给新人排出该先学什么、给业务问题配上技能组合，顺带指出团队短板。	整理技能库的 problem_solved 文本并一次性离线建索引 → 运营用自然语言描述业务问题作为查询 → 语义向量与 TF-IDF 两路召回候选技能 → 用 RRF 融合多路排名并取 Top-K → 返回 Top-3 技能、相似度分数与应用步骤摘要	把现有 Skill 卡片建成实体节点并标注领域、难度与业务价值 → 按前置、延伸、组合、应用场景关系写入图谱三元组 → 用 TransE 训练技能与关系的嵌入向量 → 对业务问题做图查询与技能组合排序 → 输出个性化学习路径与团队知识缺口诊断
23	agt-002	AGT-002 枢衡	能力匹配	p2s-business-problem-to-skill-retrieval	业务问题→Skill 检索 — Sentence-BERT + RRF 多路召回引擎	p2s-llm-tool-selection-router	LLM工具路由与意图识别 — 意图分类与置信过滤	0			运营和数据新人说一句业务问题，几秒内拿到最该用的 3 个技能和上手步骤，不用再逐页翻技能库。	让内部 ChatBot 听懂「查一下 B08X 上周销量」到底该调哪个工具，把路由错误、幻觉调用和无效 API 花费一起收住。	整理技能库的 problem_solved 文本并一次性离线建索引 → 运营用自然语言描述业务问题作为查询 → 语义向量与 TF-IDF 两路召回候选技能 → 用 RRF 融合多路排名并取 Top-K → 返回 Top-3 技能、相似度分数与应用步骤摘要	登记工具注册表（名称、描述、关键词、参数 schema、示例） → 标注至少 500 条历史调用日志作为意图样本 → 为工具描述与示例建立 TF-IDF 关键词索引 → 对用户问题做意图分类并给出候选工具与参数 → 按置信阈值过滤，低于阈值时反问澄清替代无效调用
24	agt-002	AGT-002 枢衡	依赖协调	p2s-concat-consensus-decentralized-mas	CONCAT共识驱动去中心化MAS协同 — 无需中央Orchestrator的自组织Agent网络	p2s-cross-org-agent-protocol	Cross-Org Agent Protocol — 跨组织多智能体协调协议：多委托人、联邦编排、工作区委托	0			去掉中央调度，让多个 Agent 并行给结论、按共识合并，谁掉线都不影响整体。	让分属不同公司或不同厂商的 Agent 互相协作，靠签名消息和委托关系把协作口径对齐。	各 Agent 独立并行生成答案与置信度 → 按语义相似度阈值做共识聚类 → 在簇内按置信度选举组长输出代表答案 → 按效益修剪相关性低的通信边 → 聚合输出最终结论	建立 MPAC 会话并声明双方委托人 → 按 MPAC 层级与消息类型封装消息 → 对消息签名并在接收端验签 → 按委托范围交换约定字段并协商出结论 → 留存会话记录供审计
25	agt-002	AGT-002 枢衡	依赖协调	p2s-concat-consensus-decentralized-mas	CONCAT共识驱动去中心化MAS协同 — 无需中央Orchestrator的自组织Agent网络	p2s-dynamic-dag-orchestration	Dynamic DAG Orchestration — 运行时动态调整工作流拓扑	0			去掉中央调度，让多个 Agent 并行给结论、按共识合并，谁掉线都不影响整体。	工作流跑到一半发现置信度不够就停、发现供应缺口就插新节点，让拓扑跟着数据实时变。	各 Agent 独立并行生成答案与置信度 → 按语义相似度阈值做共识聚类 → 在簇内按置信度选举组长输出代表答案 → 按效益修剪相关性低的通信边 → 聚合输出最终结论	构建初始节点与依赖（需求预测、竞品分析、供应链评估、毛利优化、决策汇总） → 为节点设定状态与置信度门控判据 → 按判据在运行时注入新节点（如紧急产能评估） → 置信度不足时停止后续节点并转人工审核 → 输出调整后的拓扑与执行记录
26	agt-002	AGT-002 枢衡	依赖协调	p2s-cross-org-agent-protocol	Cross-Org Agent Protocol — 跨组织多智能体协调协议：多委托人、联邦编排、工作区委托	p2s-dynamic-dag-orchestration	Dynamic DAG Orchestration — 运行时动态调整工作流拓扑	0			让分属不同公司或不同厂商的 Agent 互相协作，靠签名消息和委托关系把协作口径对齐。	工作流跑到一半发现置信度不够就停、发现供应缺口就插新节点，让拓扑跟着数据实时变。	建立 MPAC 会话并声明双方委托人 → 按 MPAC 层级与消息类型封装消息 → 对消息签名并在接收端验签 → 按委托范围交换约定字段并协商出结论 → 留存会话记录供审计	构建初始节点与依赖（需求预测、竞品分析、供应链评估、毛利优化、决策汇总） → 为节点设定状态与置信度门控判据 → 按判据在运行时注入新节点（如紧急产能评估） → 置信度不足时停止后续节点并转人工审核 → 输出调整后的拓扑与执行记录
27	agt-002	AGT-002 枢衡	能力匹配	p2s-knowledge-graph-for-skills-management	Knowledge Graph for Skills Management（知识图谱驱动的技能管理）	p2s-llm-tool-selection-router	LLM工具路由与意图识别 — 意图分类与置信过滤	0			把散落的技能卡片连成一张图，给新人排出该先学什么、给业务问题配上技能组合，顺带指出团队短板。	让内部 ChatBot 听懂「查一下 B08X 上周销量」到底该调哪个工具，把路由错误、幻觉调用和无效 API 花费一起收住。	把现有 Skill 卡片建成实体节点并标注领域、难度与业务价值 → 按前置、延伸、组合、应用场景关系写入图谱三元组 → 用 TransE 训练技能与关系的嵌入向量 → 对业务问题做图查询与技能组合排序 → 输出个性化学习路径与团队知识缺口诊断	登记工具注册表（名称、描述、关键词、参数 schema、示例） → 标注至少 500 条历史调用日志作为意图样本 → 为工具描述与示例建立 TF-IDF 关键词索引 → 对用户问题做意图分类并给出候选工具与参数 → 按置信阈值过滤，低于阈值时反问澄清替代无效调用
28	agt-002	AGT-002 枢衡	预算分配/异常冻结与恢复	p2s-ltv-acquisition-budget-gate	LTV-Acquisition-Budget-Gate — LTV/CAC比值驱动的获客预算自动开闸/熔断决策器	p2s-ltv-cac-acquisition-gate	LTV CAC Acquisition Gate — LTV/CAC比率触发渠道获客自动暂停或扩投	0.09	ltv		按 LTV/CAC 比值自动决定哪些渠道熔断新客投放、哪些加预算，并带样本量与连续扩增护栏。	用 LTV/CAC 比值判断哪个渠道该暂停新客投放、哪个该加预算，并保留品牌最低预算。	汇总各渠道预算、30天CAC与LTV分位数 → 校验新客样本量是否达门槛 → 比值低于熔断阈值判熔断、高于开闸阈值判扩增 → 按扩增比例调整预算并受连续扩增上限约束 → 输出渠道决策与新预算表	汇总各渠道预测LTV、当月CAC、新客数与预算 → 按最小新客数门槛过滤渠道 → 比值低于暂停阈值判暂停、高于扩投阈值判加预算 → 按扩投比例调整并把释放预算转入高效渠道 → 保留品牌最低预算并设观察天数后复评
29	agt-002	AGT-002 枢衡	异常冻结与恢复	p2s-ltv-acquisition-budget-gate	LTV-Acquisition-Budget-Gate — LTV/CAC比值驱动的获客预算自动开闸/熔断决策器	p2s-model-performance-monitor	Skill-Model-Performance-Monitor	0			按 LTV/CAC 比值自动决定哪些渠道熔断新客投放、哪些加预算，并带样本量与连续扩增护栏。	让新模型先静默陪跑几天，用真实标签比出谁更准，再决定切还是等；模型劣化从 7 天发现压到 1 小时。	汇总各渠道预算、30天CAC与LTV分位数 → 校验新客样本量是否达门槛 → 比值低于熔断阈值判熔断、高于开闸阈值判扩增 → 按扩增比例调整预算并受连续扩增上限约束 → 输出渠道决策与新预算表	让新模型以 Shadow 模式静默预测，不接生产流量 → 等待真实标签到达（如 T+7 的实际销量） → 用滑动窗口对比 Champion 与 Challenger 的 AUC/MAPE → 做统计显著性检验并给出 GO / WAIT / ABORT 建议 → 指标退化超阈值时触发告警与重训提示
